State,EpiWeek,StartDate,Confirmed
Ondo,1,30/12/2019,7
Edo,1,30/12/2019,7
Ebonyi,1,30/12/2019,0
Plateau,1,30/12/2019,0
Bauchi,1,30/12/2019,1
Taraba,1,30/12/2019,0
Ondo,2,06/01/2020,32
Edo,2,06/01/2020,18
Ebonyi,2,06/01/2020,5
Plateau,2,06/01/2020,2
Bauchi,2,06/01/2020,1
Taraba,2,06/01/2020,5
Ondo,3,13/01/2020,42
Edo,3,13/01/2020,33
Ebonyi,3,13/01/2020,0
Plateau,3,13/01/2020,1
Bauchi,3,13/01/2020,2
Taraba,3,13/01/2020,1
Ondo,4,20/01/2020,16
Edo,4,20/01/2020,34
Ebonyi,4,20/01/2020,8
Plateau,4,20/01/2020,4
Bauchi,4,20/01/2020,3
Taraba,4,20/01/2020,4
Ondo,5,27/01/2020,27
Edo,5,27/01/2020,40
Ebonyi,5,27/01/2020,6
Plateau,5,27/01/2020,5
Bauchi,5,27/01/2020,6
Taraba,5,27/01/2020,6
Ondo,6,03/02/2020,27
Edo,6,03/02/2020,39
Ebonyi,6,03/02/2020,9
Plateau,6,03/02/2020,1
Bauchi,6,03/02/2020,1
Taraba,6,03/02/2020,9
Ondo,7,10/02/2020,31
Edo,7,10/02/2020,41
Ebonyi,7,10/02/2020,7
Plateau,7,10/02/2020,4
Bauchi,7,10/02/2020,11
Taraba,7,10/02/2020,6
Ondo,8,17/02/2020,34
Edo,8,17/02/2020,22
Ebonyi,8,17/02/2020,8
Plateau,8,17/02/2020,6
Bauchi,8,17/02/2020,5
Taraba,8,17/02/2020,3
Ondo,9,24/02/2020,25
Edo,9,24/02/2020,31
Ebonyi,9,24/02/2020,8
Plateau,9,24/02/2020,1
Bauchi,9,24/02/2020,3
Taraba,9,24/02/2020,9
Ondo,10,02/03/2020,33
Edo,10,02/03/2020,25
Ebonyi,10,02/03/2020,4
Plateau,10,02/03/2020,1
Bauchi,10,02/03/2020,2
Taraba,10,02/03/2020,5
Ondo,11,09/03/2020,15
Edo,11,09/03/2020,11
Ebonyi,11,09/03/2020,8
Plateau,11,09/03/2020,1
Bauchi,11,09/03/2020,4
Taraba,11,09/03/2020,5
Ondo,12,16/03/2020,5
Edo,12,16/03/2020,8
Ebonyi,12,16/03/2020,1
Plateau,12,16/03/2020,2
Bauchi,12,16/03/2020,2
Taraba,12,16/03/2020,2
Ondo,13,23/03/2020,6
Edo,13,23/03/2020,3
Ebonyi,13,23/03/2020,5
Plateau,13,23/03/2020,1
Bauchi,13,23/03/2020,1
Taraba,13,23/03/2020,1
Ondo,14,30/03/2020,4
Edo,14,30/03/2020,5
Ebonyi,14,30/03/2020,1
Plateau,14,30/03/2020,0
Bauchi,14,30/03/2020,1
Taraba,14,30/03/2020,0
Ondo,15,06/04/2020,1
Edo,15,06/04/2020,6
Ebonyi,15,06/04/2020,0
Plateau,15,06/04/2020,1
Bauchi,15,06/04/2020,0
Taraba,15,06/04/2020,0
Ondo,16,13/04/2020,3
Edo,16,13/04/2020,0
Ebonyi,16,13/04/2020,0
Plateau,16,13/04/2020,0
Bauchi,16,13/04/2020,0
Taraba,16,13/04/2020,1
Ondo,17,20/04/2020,5
Edo,17,20/04/2020,1
Ebonyi,17,20/04/2020,0
Plateau,17,20/04/2020,0
Bauchi,17,20/04/2020,0
Taraba,17,20/04/2020,0
Ondo,18,27/04/2020,2
Edo,18,27/04/2020,0
Ebonyi,18,27/04/2020,0
Plateau,18,27/04/2020,1
Bauchi,18,27/04/2020,0
Taraba,18,27/04/2020,0
Ondo,19,04/05/2020,5
Edo,19,04/05/2020,2
Ebonyi,19,04/05/2020,1
Plateau,19,04/05/2020,0
Bauchi,19,04/05/2020,0
Taraba,19,04/05/2020,0
Ondo,20,11/05/2020,2
Edo,20,11/05/2020,3
Ebonyi,20,11/05/2020,0
Plateau,20,11/05/2020,0
Bauchi,20,11/05/2020,1
Taraba,20,11/05/2020,0
Ondo,21,18/05/2020,5
Edo,21,18/05/2020,2
Ebonyi,21,18/05/2020,1
Plateau,21,18/05/2020,0
Bauchi,21,18/05/2020,0
Taraba,21,18/05/2020,0
Ondo,22,25/05/2020,2
Edo,22,25/05/2020,2
Ebonyi,22,25/05/2020,1
Plateau,22,25/05/2020,1
Bauchi,22,25/05/2020,0
Taraba,22,25/05/2020,0
Ondo,23,01/06/2020,3
Edo,23,01/06/2020,2
Ebonyi,23,01/06/2020,0
Plateau,23,01/06/2020,0
Bauchi,23,01/06/2020,0
Taraba,23,01/06/2020,0
Ondo,24,08/06/2020,4
Edo,24,08/06/2020,1
Ebonyi,24,08/06/2020,0
Plateau,24,08/06/2020,0
Bauchi,24,08/06/2020,0
Taraba,24,08/06/2020,0
Ondo,25,15/06/2020,2
Edo,25,15/06/2020,1
Ebonyi,25,15/06/2020,0
Plateau,25,15/06/2020,1
Bauchi,25,15/06/2020,0
Taraba,25,15/06/2020,1
Ondo,26,22/06/2020,3
Edo,26,22/06/2020,1
Ebonyi,26,22/06/2020,0
Plateau,26,22/06/2020,0
Bauchi,26,22/06/2020,0
Taraba,26,22/06/2020,0
Bauchi,27,29/06/2020,0
Ebonyi,27,29/06/2020,0
Edo,27,29/06/2020,2
Ondo,27,29/06/2020,1
Plateau,27,29/06/2020,0
Taraba,27,29/06/2020,0
Bauchi,28,06/07/2020,0
Ebonyi,28,06/07/2020,0
Edo,28,06/07/2020,0
Ondo,28,06/07/2020,3
Plateau,28,06/07/2020,0
Taraba,28,06/07/2020,0
Bauchi,29,13/07/2020,0
Ebonyi,29,13/07/2020,0
Edo,29,13/07/2020,0
Ondo,29,13/07/2020,5
Plateau,29,13/07/2020,0
Taraba,29,13/07/2020,0
Bauchi,30,20/07/2020,0
Ebonyi,30,20/07/2020,0
Edo,30,20/07/2020,0
Ondo,30,20/07/2020,0
Plateau,30,20/07/2020,0
Taraba,30,20/07/2020,0
Bauchi,31,27/07/2020,0
Ebonyi,31,27/07/2020,0
Edo,31,27/07/2020,0
Ondo,31,27/07/2020,3
Plateau,31,27/07/2020,0
Taraba,31,27/07/2020,0
Bauchi,32,03/08/2020,0
Ebonyi,32,03/08/2020,0
Edo,32,03/08/2020,1
Ondo,32,03/08/2020,5
Plateau,32,03/08/2020,0
Taraba,32,03/08/2020,0
Bauchi,33,10/08/2020,0
Ebonyi,33,10/08/2020,0
Edo,33,10/08/2020,1
Ondo,33,10/08/2020,0
Plateau,33,10/08/2020,0
Taraba,33,10/08/2020,0
Bauchi,34,17/08/2020,0
Ebonyi,34,17/08/2020,0
Edo,34,17/08/2020,2
Ondo,34,17/08/2020,9
Plateau,34,17/08/2020,0
Taraba,34,17/08/2020,0
Bauchi,35,24/08/2020,0
Ebonyi,35,25/08/2020,0
Edo,35,26/08/2020,1
Ondo,35,27/08/2020,1
Plateau,35,28/08/2020,0
Taraba,35,29/08/2020,0
Bauchi,36,31/08/2020,0
Ebonyi,36,31/08/2020,0
Edo,36,31/08/2020,2
Ondo,36,31/08/2020,1
Plateau,36,31/08/2020,0
Taraba,36,31/08/2020,0
Bauchi,37,07/09/2020,0
Ebonyi,37,07/09/2020,0
Edo,37,07/09/2020,3
Ondo,37,07/09/2020,3
Plateau,37,07/09/2020,0
Taraba,37,07/09/2020,0
Bauchi,38,14/09/2020,0
Ebonyi,38,14/09/2020,0
Edo,38,14/09/2020,1
Ondo,38,14/09/2020,3
Plateau,38,14/09/2020,0
Taraba,38,14/09/2020,0
Bauchi,39,21/09/2020,0
Ebonyi,39,21/09/2020,0
Edo,39,21/09/2020,2
Ondo,39,21/09/2020,5
Plateau,39,21/09/2020,0
Taraba,39,21/09/2020,0
Bauchi,40,28/09/2020,0
Ebonyi,40,28/09/2020,0
Edo,40,28/09/2020,1
Ondo,40,28/09/2020,1
Plateau,40,28/09/2020,0
Taraba,40,28/09/2020,0
Bauchi,41,05/10/2020,0
Ebonyi,41,05/10/2020,1
Edo,41,05/10/2020,1
Ondo,41,05/10/2020,3
Plateau,41,05/10/2020,0
