"LGA","Year","CroplandESA_pw","AgricultureESA_pw","UrbanESA_pw","ForestESA_pw"
"Aba North","2016",0.0180388790241373,0.0273640399868532,0.972635960013147,0
"Aba South","2016",0.0612915493338767,0.102576748717291,0.877838512752269,0.015174615694441
"Abaji","2016",0.270635608784986,0.462881467369883,0.0441374635220553,0.184307552196089
"Abak","2016",0.369402914769028,0.602540854160886,0.0799966912483432,0.313014324020705
"Abakaliki","2016",0.360079792293817,0.705553446421594,0.233554757412242,0.0196520002699765
"Abeokuta North","2016",0.149403332440453,0.479362308824914,0.284530813529287,0.161203607482877
"Abeokuta South","2016",0.0651536762122158,0.10854619639079,0.885144036332475,0
"Abi","2016",0.362381579976716,0.809055812743241,0.0208162319635092,0.0567815219206979
"Aboh-Mbaise","2016",0.0377923815009888,0.410296452582804,0,0.574807051599579
"Abua/Odual","2016",0.0178096141896331,0.289942927019876,0.0313727315288416,0.670095503018389
"Abuja Municipal","2016",0.305769695107821,0.448238977888754,0.432995766303072,0.0361992809026445
"Adavi","2016",0.0754592101222641,0.134655685036931,0.162458924583469,0.490516338298375
"Ado","2016",0.196488777970023,0.526846486606176,0,0.428045957419088
"Ado-Odo/Ota","2016",0.400078844210354,0.429473544021367,0.493364229683672,0.076782909529994
"Ado Ekiti","2016",0.096936715175121,0.43760032441475,0.391934413818968,0.16819277819423
"Afijio","2016",0.369982266703748,0.75658722546222,0.179954057471981,0.0291180489203357
"Afikpo North","2016",0.318742824263634,0.757735624088298,0.0664610336727499,0.0735640093873011
"Afikpo South","2016",0.418139568734528,0.827552074333189,0.00203931464443943,0.0832485965599617
"Agaie","2016",0.582451542792939,0.820211336655014,0.0395252561880206,0.0637161523955637
"Agatu","2016",0.266700990261704,0.564791211879814,0.0118623503145294,0.346526065397326
"Agege","2016",0,0,1,0
"Aguata","2016",0.0594628993636059,0.525160812912239,0.025793298139249,0.261646449917443
"Agwara","2016",0.818239378907576,0.899894412881468,0.00351348748449013,0.00381637048128776
"Ahiazu-Mbaise","2016",0.051125656167548,0.380791513906178,0.00582602337748622,0.514034266446435
"Ahoada East","2016",0.0502425821166525,0.791320251880839,0.0577222960784341,0.149517394410403
"Ahoada West","2016",0.0406896468252707,0.446336578207557,0.0122376604248322,0.500893999774647
"Aiyedade","2016",0.308279698088975,0.413390945060031,0.0896759987146298,0.493850907784596
"Aiyedire","2016",0.487677591572036,0.808892923220983,0.0670350086487126,0.103716624463117
"Aiyekire (Gbonyin)","2016",0.166434788019164,0.676007118018894,0.0532540427600847,0.266259753285572
"Ajaokuta","2016",0.288586059452028,0.367149221057165,0.059484415498526,0.499629316821657
"Ajeromi-Ifelodun","2016",0,0,1,0
"Ajingi","2016",0.939734144967488,0.9884483666059,0.00631836891069272,0.000390413659815956
"Akamkpa","2016",0.334792203289483,0.555506897787062,0.006289863446935,0.422893035248593
"Akinyele","2016",0.461780954255368,0.694919223082681,0.254179318354914,0.0359639232435349
"Akko","2016",0.869672333538102,0.884160273482794,0.108478970033659,0
"Akoko-Edo","2016",0.0662324448671606,0.0831624736774015,0.0283865534331222,0.817690487575041
