"admin2Name","admin1Name","Shape_Leng","Shape_Area","LGA","ID","Area_km2","clust"
"Aba North","Abia",0.23707440507,0.00152392098518,"Aba North",1,18.685398543175,"1_1"
"Aba South","Abia",0.26247720417,0.00353110372757,"Aba South",2,43.2982119878326,"1_1"
"Arochukwu","Abia",1.2634238182,0.0425466644754,"Arochukwu",64,521.349504884296,"1_1"
"Bende","Abia",1.36037955937,0.050512603746,"Bende",98,618.806857162719,"1_1"
"Ikwuano","Abia",0.752886530665,0.0227141707335,"Ikwuano",325,278.379617083779,"1_1"
"Isiala-Ngwa North","Abia",0.863972140408,0.0231323561835,"Isiala-Ngwa North",351,283.557310214392,"1_1"
"Isiala-Ngwa South","Abia",0.918367205137,0.0226038433363,"Isiala-Ngwa South",352,277.034251985626,"1_1"
"Isiukwuato","Abia",0.775926952781,0.03123529542,"Isiukwuato",355,382.56194489504,"1_1"
"Obi Ngwa","Abia",0.877277667069,0.0329439646822,"Obi Ngwa",520,403.9184404731,"1_1"
"Ohafia","Abia",0.946685863688,0.0359261382567,"Ohafia",547,440.113155648311,"1_1"
"Osisioma Ngwa","Abia",0.604803524814,0.0142538009955,"Osisioma Ngwa",597,174.753321910432,"1_1"
"Ugwunagbo","Abia",0.494289989544,0.0102743402559,"Ugwunagbo",693,125.995533670995,"1_1"
"Ukwa East","Abia",0.855623751982,0.02306330249,"Ukwa East",697,282.865371023619,"1_1"
"Ukwa West","Abia",0.779764415232,0.0226142014083,"Ukwa West",698,277.350558761819,"1_1"
"Umu-Nneochi","Abia",0.815121421369,0.0300615161889,"Umu-Nneochi",700,368.079445313338,"1_1"
"Umuahia North","Abia",0.790264382563,0.0185675143851,"Umuahia North",701,227.492389055924,"1_1"
"Umuahia South","Abia",0.491300856267,0.0110381675308,"Umuahia South",702,135.262133193162,"1_1"
"Demsa","Adamawa",1.92366897826,0.129068077789,"Demsa",151,1567.9356445375,"2_1"
"Fufore","Adamawa",3.74795273885,0.389154823956,"Fufore",214,4730.04604957511,"2_1"
"Ganye","Adamawa",2.1220512573,0.171992268204,"Ganye",223,2094.78887136898,"2_2"
"Gombi","Adamawa",1.84247470788,0.178513458061,"Gombi",235,2163.60532805865,"2_3"
"Girei","Adamawa",1.47802903766,0.0982477154362,"Girei",239,1193.34934204704,"2_1"
"Guyuk","Adamawa",1.1664443572,0.0567351489709,"Guyuk",250,688.352614190673,"2_1"
"Hong","Adamawa",2.2331108482,0.219586682178,"Hong",261,2660.48573605731,"2_3"
"Jada","Adamawa",3.04735176855,0.213870761591,"Jada",368,2603.05451466851,"2_2"
"Lamurde","Adamawa",1.42085436514,0.0910710524592,"Lamurde",444,1105.8462428821,"2_1"
"Madagali","Adamawa",1.19035742961,0.0686756433778,"Madagali",454,830.719458474639,"2_4"
"Maiha","Adamawa",1.75450229397,0.111810671854,"Maiha",459,1356.49535508283,"2_3"
"Mayo-Belwa","Adamawa",2.72893133991,0.173411681987,"Mayo-Belwa",474,2108.98546467377,"2_2"
"Michika","Adamawa",1.11393528386,0.0669660301721,"Michika",477,810.654950108904,"2_4"
"Mubi North","Adamawa",1.04665664981,0.0621980486299,"Mubi North",487,753.438926410948,"2_3"
"Mubi South","Adamawa",0.97472422395,0.0414776696298,"Mubi South",488,502.721437769337,"2_3"
"Numan","Adamawa",1.60277168574,0.0687044561621,"Numan",515,834.531075406793,"2_1"
"Shelleng","Adamawa",1.58868145976,0.0993875179857,"Shelleng",648,1205.75068241884,"2_1"
"Song","Adamawa",2.75705667721,0.332858124355,"Song",659,4038.66965696253,"2_3"
"Toungo","Adamawa",3.36082157198,0.457437220744,"Toungo",682,5577.6562484925,"2_5"
"Yola South","Adamawa",1.65703758853,0.0766115692685,"Yola South",735,931.05230275882,"2_1"
"Yola North","Adamawa",0.274342900833,0.00522788646738,"Yola North",736,63.5343554247252,"2_1"
"Abak","Akwa Ibom",0.687149767603,0.014528690659,"Abak",4,178.166671247827,"3_1"
"Eastern Obolo","Akwa Ibom",0.695187968105,0.0100176051847,"Eastern Obolo",160,122.934427986395,"3_1"
"Eket","Akwa Ibom",0.668203363683,0.0135458789867,"Eket",175,166.205951427872,"3_1"
"Esit - Eket","Akwa Ibom",0.466958319904,0.0138070777835,"Esit - Eket",193,169.41021001547,"3_1"
"Essien Udim","Akwa Ibom",0.735536213143,0.023585098173,"Essien Udim",194,289.188064179265,"3_1"
